id,instagram_user_id,username,followers,following,uploads,date
1,1,awkarin,4391732,443,5170,2019-04-23 03:36:07
2,2,raditya_dika,12522093,334,4039,2019-04-23 04:02:40
3,3,milhamrk,1172,203,0,2019-04-23 04:09:49
4,1,awkarin,4391551,446,5175,2019-04-25 20:40:03
5,1,awkarin,4391551,446,5175,2019-04-25 20:40:03
6,2,raditya_dika,12546455,334,4044,2019-04-25 20:45:01
7,2,raditya_dika,12546451,334,4044,2019-04-25 20:45:01
8,3,milhamrk,1181,202,0,2019-04-25 20:50:02
9,3,milhamrk,1181,202,0,2019-04-25 20:50:02
10,1,awkarin,4391491,446,5175,2019-04-25 22:40:03
11,1,awkarin,4391511,446,5175,2019-04-25 22:40:03
12,2,raditya_dika,12546968,334,4044,2019-04-25 22:45:03
13,2,raditya_dika,12546967,334,4044,2019-04-25 22:45:03
14,3,milhamrk,1181,202,0,2019-04-25 22:50:04
15,3,milhamrk,1181,202,0,2019-04-25 22:50:04
16,1,awkarin,4391205,446,5176,2019-04-26 12:45:02
17,2,raditya_dika,12552445,334,4045,2019-04-26 12:55:02
18,3,milhamrk,1181,202,0,2019-04-26 11:00:03
19,4,selaras.travel,571,1615,58,2019-04-26 13:03:54
20,5,emmaafifah,1681,260,8,2019-04-26 11:55:11
21,6,emmaafifah99,268,695,2,2019-04-26 13:03:23
22,3,milhamrk,1181,202,0,2019-04-26 13:05:01
23,3,milhamrk,1181,202,0,2019-04-26 13:05:01
24,5,emmaafifah,1681,260,8,2019-04-26 14:00:03
25,5,emmaafifah,1681,260,8,2019-04-26 14:00:03
26,1,awkarin,4391170,446,5176,2019-04-26 14:45:02
27,1,awkarin,4391170,446,5176,2019-04-26 14:45:02
28,2,raditya_dika,12553036,334,4045,2019-04-26 14:55:02
29,2,raditya_dika,12553036,334,4045,2019-04-26 14:55:02
30,6,emmaafifah99,268,695,2,2019-04-26 15:05:02
31,6,emmaafifah99,268,695,2,2019-04-26 15:05:02
32,4,selaras.travel,572,1616,58,2019-04-26 15:10:03
33,4,selaras.travel,572,1616,58,2019-04-26 15:10:03
34,3,milhamrk,1181,202,0,2019-04-26 15:15:02
35,3,milhamrk,1181,202,0,2019-04-26 15:15:02
36,5,emmaafifah,1681,260,8,2019-04-26 16:00:03
37,5,emmaafifah,1681,260,8,2019-04-26 16:00:03
38,1,awkarin,4391162,446,5176,2019-04-26 16:45:02
39,1,awkarin,4391162,446,5176,2019-04-26 16:45:02
40,2,raditya_dika,12553410,334,4045,2019-04-26 16:55:02
41,2,raditya_dika,12553410,334,4045,2019-04-26 16:55:02
42,6,emmaafifah99,268,695,2,2019-04-26 17:05:03
43,4,selaras.travel,572,1616,58,2019-04-26 17:10:03
44,4,selaras.travel,572,1616,58,2019-04-26 17:10:03
45,3,milhamrk,1181,202,0,2019-04-26 17:15:03
46,3,milhamrk,1181,202,0,2019-04-26 17:15:03
47,5,emmaafifah,1681,260,8,2019-04-26 18:05:02
48,5,emmaafifah,1681,260,8,2019-04-26 18:05:02
49,1,awkarin,4391068,446,5176,2019-04-26 18:45:02
50,1,awkarin,4391068,446,5176,2019-04-26 18:45:02
51,2,raditya_dika,12553604,334,4045,2019-04-26 18:55:02
52,2,raditya_dika,12553602,334,4045,2019-04-26 18:55:02
53,6,emmaafifah99,268,695,2,2019-04-26 19:10:02
